,Feat,Tfs,corpus_index
0,ar condicionado,360.0,0.0
1,vidros elétricos,208.0,0.0
2,direção hidráulica,181.0,0.0
3,travas elétricas,159.0,0.0
4,ar condicionado,360.0,1.0
5,computador bordo,210.0,1.0
6,vidros elétricos,208.0,1.0
7,rodas liga,207.0,1.0
8,direção hidráulica,181.0,1.0
9,liga leve,202.0,1.0
10,air bag,165.0,1.0
11,freio abs,169.0,1.0
12,chave reserva,146.0,1.0
13,travas elétricas,159.0,1.0
14,bancos couro,145.0,1.0
15,retrovisores elétricos,138.0,1.0
16,ar condicionado,360.0,2.0
17,ipva pago,153.0,2.0
18,chave reserva,146.0,2.0
19,travas elétricas,159.0,2.0
20,direção elétrica,168.0,2.0
21,ar condicionado,360.0,3.0
22,computador bordo,210.0,3.0
23,air bag,165.0,3.0
24,retrovisores elétricos,138.0,3.0
25,ar condicionado,360.0,4.0
26,vidros elétricos,208.0,4.0
27,direção hidráulica,181.0,4.0
28,chave reserva,146.0,4.0
29,travas elétricas,159.0,4.0
30,chave reserva,146.0,7.0
31,ar condicionado,360.0,8.0
32,computador bordo,210.0,8.0
33,rodas liga,207.0,8.0
34,liga leve,202.0,8.0
35,ipva pago,153.0,8.0
36,desembaçador traseiro,187.0,8.0
37,freio abs,169.0,8.0
38,único dono,139.0,8.0
39,regulagem altura,155.0,8.0
40,bancos couro,145.0,8.0
41,ano cor,117.0,8.0
42,retrovisores elétricos,138.0,8.0
43,ar condicionado,360.0,9.0
44,vidros elétricos,208.0,9.0
45,desembaçador traseiro,187.0,9.0
46,air bag,165.0,9.0
47,direção elétrica,168.0,9.0
48,bancos couro,145.0,9.0
49,ar condicionado,360.0,10.0
50,vidros elétricos,208.0,10.0
51,chave reserva,146.0,10.0
52,direção elétrica,168.0,10.0
53,computador bordo,210.0,11.0
54,rodas liga,207.0,11.0
55,liga leve,202.0,11.0
56,ipva pago,153.0,11.0
57,desembaçador traseiro,187.0,11.0
58,freio abs,169.0,11.0
59,único dono,139.0,11.0
60,direção elétrica,168.0,11.0
61,regulagem altura,155.0,11.0
62,ano cor,117.0,11.0
63,retrovisores elétricos,138.0,11.0
64,ar condicionado,360.0,13.0
65,computador bordo,210.0,13.0
66,vidros elétricos,208.0,13.0
67,direção hidráulica,181.0,13.0
68,ipva pago,153.0,13.0
69,air bag,165.0,13.0
70,freio abs,169.0,13.0
71,travas elétricas,159.0,13.0
72,computador bordo,210.0,14.0
73,freio abs,169.0,14.0
74,direção elétrica,168.0,14.0
75,regulagem altura,155.0,14.0
76,air bag,165.0,17.0
77,ar condicionado,360.0,19.0
78,regulagem altura,155.0,19.0
79,bancos couro,145.0,19.0
80,retrovisores elétricos,138.0,19.0
81,ar condicionado,360.0,25.0
82,vidros elétricos,208.0,25.0
83,direção hidráulica,181.0,25.0
84,travas elétricas,159.0,25.0
85,chave reserva,146.0,26.0
86,pneus novos,95.0,27.0
87,ar condicionado,360.0,29.0
88,ar condicionado,360.0,30.0
89,chave reserva,146.0,30.0
90,ar condicionado,360.0,34.0
91,vidros elétricos,208.0,34.0
92,direção hidráulica,181.0,34.0
93,chave reserva,146.0,34.0
94,travas elétricas,159.0,34.0
95,ar condicionado,360.0,35.0
96,pneus novos,95.0,35.0
97,ar condicionado,360.0,37.0
98,direção hidráulica,181.0,37.0
99,ipva pago,153.0,37.0
100,único dono,139.0,39.0
101,ar condicionado,360.0,40.0
102,vidros elétricos,208.0,40.0
103,rodas liga,207.0,40.0
104,liga leve,202.0,40.0
105,travas elétricas,159.0,40.0
106,direção elétrica,168.0,40.0
107,bancos couro,145.0,40.0
108,retrovisores elétricos,138.0,40.0
109,ar condicionado,360.0,41.0
110,vidros elétricos,208.0,41.0
111,direção hidráulica,181.0,41.0
112,travas elétricas,159.0,41.0
113,retrovisores elétricos,138.0,41.0
114,pneus novos,95.0,45.0
115,ar condicionado,360.0,47.0
116,computador bordo,210.0,47.0
117,vidros elétricos,208.0,47.0
118,desembaçador traseiro,187.0,47.0
119,travas elétricas,159.0,47.0
120,bancos couro,145.0,47.0
121,pneus novos,95.0,47.0
122,ipva pago,153.0,48.0
123,chave reserva,146.0,49.0
124,chave reserva,146.0,50.0
125,rodas liga,207.0,51.0
126,computador bordo,210.0,52.0
127,desembaçador traseiro,187.0,52.0
128,freio abs,169.0,52.0
129,direção elétrica,168.0,52.0
130,regulagem altura,155.0,52.0
131,ar condicionado,360.0,55.0
132,vidros elétricos,208.0,55.0
133,rodas liga,207.0,55.0
134,publicado revenda,71.0,55.0
135,direção hidráulica,181.0,55.0
136,liga leve,202.0,55.0
137,desembaçador traseiro,187.0,55.0
138,ar condicionado,360.0,57.0
139,computador bordo,210.0,57.0
140,vidros elétricos,208.0,57.0
141,rodas liga,207.0,57.0
142,liga leve,202.0,57.0
143,desembaçador traseiro,187.0,57.0
144,air bag,165.0,57.0
